800 800
60 (45.44,-73.6352) 
1 (45.626727888448244,-73.44330464872823)
1 (45.38023378120813,-73.4892415520136)
1 (45.42050630419544,-73.57245027439073)
1 (45.71793565019815,-73.64520127174129)
1 (45.605139904264995,-73.42187252168986)
1 (45.427073639169265,-73.47730897399737)
1 (45.45531349381448,-73.26635821264796)
1 (45.28920216878093,-73.36927855599465)
1 (45.47910689070939,-73.25494186054802)
1 (45.64846301549956,-73.4847484372275)
1 (45.29014006014125,-73.30053973744651)
1 (45.6304121543463,-73.74983007769977)
1 (45.709676215317835,-73.63136105341934)
1 (45.72508979919219,-73.62798001098994)
1 (45.3263594159376,-73.74651247887401)
1 (45.694675677358376,-73.37468020842743)
1 (45.366751245373074,-73.5919429079981)
1 (45.27437311134432,-73.33782952211496)
1 (45.74594459274497,-73.33098088356111)
1 (45.284090553697055,-73.48254179728373)
1 (45.57427075917106,-73.62619725733111)
1 (45.55804054336118,-73.66621441574509)
1 (45.69347933899205,-73.37618155644077)
1 (45.52955154460015,-73.27127377204258)
1 (45.50375879787891,-73.36205063677457)
1 (45.37918897739744,-73.61892230442837)
1 (45.42157868750583,-73.25411393055658)
1 (45.365707451941326,-73.63750468989451)
1 (45.27757297695858,-73.40909986391387)
1 (45.311407293460924,-73.54377870343839)
1 (45.323547053310236,-73.35270355398052)
1 (45.70614381442848,-73.31441911848657)
1 (45.26817939720309,-73.29094653017829)
1 (45.527538852233874,-73.47850129027589)
1 (45.40210201386628,-73.42694440186888)
1 (45.64886979133849,-73.74950372606627)
1 (45.404782289843915,-73.27715906084292)
1 (45.62066206921291,-73.73753710802241)
1 (45.34799185871504,-73.5830674617388)
1 (45.667186943098244,-73.43905001728403)
1 (45.72363657675445,-73.30040937822673)
1 (45.43486707725616,-73.39217992011548)
1 (45.527335094204766,-73.51878221233561)
1 (45.366018327689815,-73.31121044072978)
1 (45.52337133492203,-73.51933105202185)
1 (45.5484067372593,-73.67326443796453)
1 (45.30151003124197,-73.51763808398557)
1 (45.50877587178417,-73.62440495004476)
1 (45.61165242444441,-73.46264564001234)
1 (45.67679991581806,-73.70073433467884)
1 (45.7284224368566,-73.57055256178312)
1 (45.64484423814082,-73.72287470370593)
1 (45.25451234000363,-73.56510438996446)
1 (45.38846543488515,-73.3193808669097)
1 (45.3189795973132,-73.37255297107787)
1 (45.29275921895845,-73.36617986238937)
1 (45.56467545939168,-73.28079180105613)
1 (45.650464534048055,-73.69504911121037)
1 (45.64759874003091,-73.31777873699563)
1 (45.2591588953402,-73.72443840370352)
1 (45.69020668571077,-73.33433828640794)
1 (45.34693013495163,-73.700608521432)
1 (45.740578046559776,-73.49079106432701)
1 (45.29858559628408,-73.50610270830744)
1 (45.28981180955963,-73.54558856546863)
1 (45.53776106514175,-73.49598478748199)
1 (45.29115828210758,-73.52723677363771)
1 (45.44421676697702,-73.56007093033749)
1 (45.406117517048095,-73.53827271116762)
1 (45.35015921420416,-73.58154992920554)
1 (45.375103299941706,-73.59191335541867)
1 (45.46460302939738,-73.66892991733326)
1 (45.47325933642374,-73.5182268940947)
1 (45.520587887508206,-73.47916728161714)
1 (45.4656273828301,-73.59728195950358)
1 (45.526491347564125,-73.62512660690444)
1 (45.32010550503235,-73.68171038726656)
1 (45.72972934905606,-73.57018847288023)
1 (45.67149773572547,-73.66047530334062)
1 (45.2688115543604,-73.5568647584621)
1 (45.655445000966985,-73.6893660190265)
1 (45.49801991187937,-73.49469919654825)
1 (45.74714003597724,-73.67184729457733)
1 (45.61790435716079,-73.34552393607959)
1 (45.64646776210572,-73.5163707084171)
1 (45.53434034769191,-73.39131057026648)
1 (45.548575396253625,-73.72311126586354)
1 (45.29906886684836,-73.35139751512541)
1 (45.32686531826644,-73.36432316253938)
1 (45.55544009717457,-73.63179305008566)
1 (45.73401663528253,-73.51811375516714)
1 (45.62450792018755,-73.53954674421699)
1 (45.69587984800281,-73.6954154484691)
1 (45.71867317553594,-73.57984979316974)
1 (45.63295223022007,-73.26429064382602)
1 (45.262749154457616,-73.47256758670888)
1 (45.494629926747955,-73.3244353516054)
1 (45.43562399767987,-73.27832624060837)
1 (45.33254582712896,-73.41785247759732)
1 (45.319620040982585,-73.51206725778059)
1 (45.27104090704962,-73.37914646026553)
1 (45.45920118526112,-73.34415287644637)
1 (45.655179575342075,-73.53074603252193)
1 (45.68585504880391,-73.44564744583286)
1 (45.46970828328484,-73.31459285487303)
1 (45.26177753153195,-73.72531805012495)
1 (45.325969493744395,-73.32243876087563)
1 (45.73141298494445,-73.63119090701512)
1 (45.40802192571861,-73.5418751217611)
1 (45.34695430174457,-73.34916760610504)
1 (45.25408066908734,-73.47457317529916)
1 (45.55158267133404,-73.62524846257104)
1 (45.62487951021762,-73.60694474502702)
1 (45.26252778796734,-73.56632841275875)
1 (45.47667087807343,-73.52153799636905)
1 (45.594955016021075,-73.63732318840768)
1 (45.71331715141799,-73.72996372684473)
1 (45.70723652332245,-73.66955247842003)
1 (45.43929031784149,-73.58500282740293)
1 (45.628339806378534,-73.52684865893725)
1 (45.37338536076722,-73.39077614321916)
1 (45.748867026073945,-73.64177860139385)
1 (45.41156583914988,-73.57546346860882)
1 (45.61870505468616,-73.43465826183966)
1 (45.54659857938309,-73.52103878733811)
1 (45.296296392892394,-73.66270840945342)
1 (45.46199772079047,-73.35884446673408)
1 (45.737217264775275,-73.51574222600249)
1 (45.61828625441281,-73.73855746221913)
1 (45.59304973465958,-73.27819377660275)
1 (45.54069712993651,-73.26120601604869)
1 (45.31546061775618,-73.61508947986972)
1 (45.29917363805478,-73.43437610833438)
1 (45.62495065865542,-73.511732200688)
1 (45.34389237028692,-73.659601914852)
1 (45.70891327042592,-73.60341102343403)
1 (45.422520512619386,-73.39816540614221)
1 (45.45944288362285,-73.57236743138331)
1 (45.25903199938042,-73.28213554805131)
1 (45.64775879790394,-73.46454179326798)
1 (45.51814587550485,-73.54245783431774)
1 (45.65916109096999,-73.68829185390351)
1 (45.31431311438211,-73.7152607750901)
1 (45.2801110523245,-73.60131791617063)
1 (45.649666694332495,-73.66127601360056)
1 (45.537329258792816,-73.47044767582557)
1 (45.68146270517698,-73.49137448143254)
1 (45.73773039090234,-73.70172605142824)
1 (45.6262789561071,-73.53370130587616)
1 (45.64756436963623,-73.58542385823024)
1 (45.40560034054526,-73.50474783306997)
1 (45.67930952657403,-73.38212198176103)
1 (45.325409027514475,-73.55792939037592)
1 (45.52566392121568,-73.39194543248887)
1 (45.66101029859544,-73.37884300343141)
1 (45.39140712216941,-73.69931506727299)
1 (45.487563576298946,-73.47635983504074)
1 (45.32595509748996,-73.5702523338967)
1 (45.45665122469098,-73.28306225197647)
1 (45.652107109369496,-73.49831557719041)
1 (45.46970600005243,-73.62726644081273)
1 (45.61978383931731,-73.64866446425845)
1 (45.34023146902453,-73.5719762765899)
1 (45.68748207319745,-73.43754173349843)
1 (45.568487690588846,-73.53359531357009)
1 (45.748721981284525,-73.70662993208782)
1 (45.27467820570212,-73.49507867062681)
1 (45.67593864977115,-73.40828332852413)
1 (45.64966207651019,-73.51443743774409)
1 (45.25007052630343,-73.40855332781344)
1 (45.48582852646942,-73.60011342535483)
1 (45.38052314022838,-73.4402188511583)
1 (45.445009716258795,-73.37972275476245)
1 (45.49723711653054,-73.39770082246505)
1 (45.7051705178102,-73.32802220060852)
1 (45.61426550089474,-73.55978293533589)
1 (45.503102484844874,-73.6436824793794)
1 (45.32256599199677,-73.45447916702486)
1 (45.356462533175645,-73.67255847204017)
1 (45.36863967791194,-73.4431809648842)
1 (45.40523495890574,-73.56762664586108)
1 (45.515198380018894,-73.69838530268673)
1 (45.36005882926199,-73.6526152368047)
1 (45.560218695991004,-73.58084789795336)
1 (45.482851218374535,-73.71758374747193)
1 (45.711541625406,-73.48792341706397)
1 (45.35376952105021,-73.7203131662701)
1 (45.475602257166535,-73.54514794024709)
1 (45.39779510608497,-73.59734921163569)
1 (45.32092497845572,-73.54778654029373)
1 (45.25408313255867,-73.60289624149391)
1 (45.61969530019487,-73.32811210419148)
1 (45.57171209280921,-73.29248979400933)
1 (45.25402034702811,-73.72759929628636)
1 (45.706579843308624,-73.45148156261688)
1 (45.29741550371478,-73.59101053285403)
1 (45.57593090453957,-73.43585056306287)
1 (45.346606074978304,-73.67151895149658)
1 (45.599363532365025,-73.54471028968311)
1 (45.38390780755934,-73.5425562867493)
1 (45.7181529663789,-73.68011153977685)
1 (45.496251788740246,-73.5529913056842)
1 (45.43834068642484,-73.67034661837936)
1 (45.36334417003093,-73.537537774092)
1 (45.68727789063068,-73.73794067522628)
1 (45.654502594134684,-73.40395866762435)
1 (45.50817442655216,-73.6828715731142)
1 (45.3413866914073,-73.36267634754513)
1 (45.74269301502511,-73.42529023438831)
1 (45.442140646567324,-73.44281648631173)
1 (45.36774164925191,-73.61011860661141)
1 (45.361392161303236,-73.55150625174943)
1 (45.55935527455147,-73.5183832875687)
1 (45.280102164348804,-73.6804156906291)
1 (45.35392156255846,-73.55699776236118)
1 (45.47943615643028,-73.44507358251737)
1 (45.46499328244792,-73.60993729955327)
1 (45.55362819514962,-73.45840760232252)
1 (45.39254351224794,-73.52935538537835)
1 (45.67823489166568,-73.59025125198814)
1 (45.43075802675355,-73.525171663166)
1 (45.45222707493667,-73.44922809154859)
1 (45.54032244963131,-73.67601620094104)
1 (45.32504289509345,-73.44246675846261)
1 (45.30165015855673,-73.73314599970136)
1 (45.253026803722754,-73.52201823099172)
1 (45.30661006642205,-73.32205457167026)
1 (45.50360459444467,-73.71463975148964)
1 (45.37805193189258,-73.56397620329813)
1 (45.44009546746553,-73.2537779203763)
1 (45.42878968363985,-73.54134200221866)
1 (45.67523804578759,-73.5891260754383)
1 (45.58469214022724,-73.41747501074407)
1 (45.677307718105766,-73.74004964423946)
1 (45.40014311748459,-73.39141753429027)
1 (45.74912882856457,-73.38446537525998)
1 (45.588371897140405,-73.52376398809687)
1 (45.27733564597222,-73.73442910673562)
1 (45.67401755326269,-73.3087280826336)
1 (45.266912267046024,-73.64372899610366)
1 (45.35077965457243,-73.69140388324882)
1 (45.4343418963557,-73.52119964184283)
1 (45.59312060187137,-73.53728541060904)
1 (45.531622132683395,-73.48626512265248)
1 (45.727723362126795,-73.35359011288608)
1 (45.612953450161164,-73.30038724332482)
1 (45.71777168540663,-73.33878693380834)
1 (45.6360839017498,-73.43963796807598)
1 (45.35110802295874,-73.59796034414596)
1 (45.61109393906689,-73.73953321340191)
1 (45.35193779601574,-73.60724678583219)
1 (45.47083075627801,-73.3435580143456)
1 (45.65498676953263,-73.74056097295058)
1 (45.43925279216505,-73.72148112919805)
1 (45.690881852790895,-73.38618442783552)
1 (45.4166203244531,-73.29259999832382)
1 (45.53201349498698,-73.37951948539737)
1 (45.283769229798956,-73.69247511474146)
1 (45.63925168964886,-73.66141741103495)
1 (45.551630531008904,-73.45950565655026)
1 (45.73162525652198,-73.73896941105254)
1 (45.44670932334036,-73.38986630012529)
1 (45.473437895268304,-73.67750533909523)
1 (45.328412341443894,-73.51586810567446)
1 (45.7362824977241,-73.48877488805562)
1 (45.27991414779773,-73.60372427306659)
1 (45.64702849705113,-73.40089174017186)
1 (45.3006778860897,-73.74199459951242)
1 (45.47709536212218,-73.60060167181571)
1 (45.25579721992207,-73.5016504156459)
1 (45.663188773509624,-73.62779087689967)
1 (45.605001766474345,-73.29274469986417)
1 (45.37516395489969,-73.67588146192134)
1 (45.44246936418508,-73.42109009910362)
1 (45.56279421312265,-73.60986631958941)
1 (45.52751395923277,-73.4611406206958)
1 (45.31996098524508,-73.5562163380662)
1 (45.27576906146042,-73.4084404469366)
1 (45.70214473642476,-73.44574803152491)
1 (45.610662146083975,-73.65654671204275)
1 (45.32108470959475,-73.40177036960272)
1 (45.645776404156706,-73.65925067269836)
1 (45.61908840426236,-73.36143510082175)
1 (45.38012187395129,-73.68921486931491)
1 (45.69471035865628,-73.29819506659075)
1 (45.44038890262247,-73.38881182568123)
1 (45.41138262094726,-73.37763075225651)
1 (45.39693250413036,-73.32799276357963)
1 (45.271068158456096,-73.32763568107445)
1 (45.31353712873611,-73.53743277579494)
1 (45.67612104406616,-73.73705659843857)
1 (45.46493708263511,-73.47299189084487)
1 (45.734276184178626,-73.41436520154316)
1 (45.57061840052295,-73.58969942355712)
1 (45.68405426555552,-73.33979310273494)
1 (45.44860434022076,-73.66001206397247)
1 (45.33085591489729,-73.63059290402254)
1 (45.688726571943455,-73.66201385102607)
1 (45.58763247207509,-73.30969292647289)
1 (45.281310883433676,-73.4885195277827)
1 (45.30825894775643,-73.52299430647778)
1 (45.614256135419936,-73.3877104480199)
1 (45.58659807105859,-73.68991421851243)
1 (45.369161669703004,-73.4399752800022)
1 (45.5697326540229,-73.39550949055761)
1 (45.60545868261946,-73.5040457778816)
1 (45.599956568705785,-73.64062066499973)
1 (45.720427047616155,-73.42831070038527)
1 (45.656853246742315,-73.35895655167928)
1 (45.51252994223618,-73.42035913890254)
1 (45.61815367511864,-73.38689513015093)
1 (45.25567421324912,-73.29934723829857)
1 (45.29605405359447,-73.33300713030728)
1 (45.51280535460898,-73.42170058193908)
1 (45.53428691166993,-73.53991375430613)
1 (45.378671576035224,-73.3709570487577)
1 (45.37047736410009,-73.56107093071245)
1 (45.44364253230295,-73.53722341856565)
1 (45.37817971443332,-73.2894275375432)
1 (45.5131437174053,-73.48076150974516)
1 (45.303477879466904,-73.57363593046992)
1 (45.50056850316061,-73.47763794677141)
1 (45.50214621563128,-73.34059805529954)
1 (45.435455551166854,-73.38316442511609)
1 (45.46510586973131,-73.41061143657654)
1 (45.69327008122603,-73.42102336521396)
1 (45.392274819864156,-73.34323438271977)
1 (45.3583033651299,-73.71251684964685)
1 (45.33789821177011,-73.28822052380858)
1 (45.57700529557556,-73.30129468126832)
1 (45.40405876080223,-73.43647794495809)
1 (45.345491170407826,-73.60421033680754)
1 (45.30330541656387,-73.27098905962896)
1 (45.402014077171806,-73.62862158015926)
1 (45.34620159491662,-73.4069823217248)
1 (45.26287037690239,-73.4404955718905)
1 (45.53508274105522,-73.38437795184765)
1 (45.448506465325444,-73.74609601198657)
1 (45.461426015371,-73.33363470467884)
1 (45.595520852597495,-73.56282318735053)
1 (45.61097358611602,-73.47860563335486)
1 (45.43980615017675,-73.3019454527553)
1 (45.47811381226521,-73.46686606948381)
1 (45.58625167201809,-73.66750371926365)
1 (45.57901322753775,-73.52920755051534)
1 (45.55122781767223,-73.5915887340565)
1 (45.53160538842939,-73.46559680955782)
1 (45.27549947364325,-73.47648345333147)
1 (45.339780980976414,-73.43487964346701)
1 (45.65726616932761,-73.29883122987228)
1 (45.37898672774052,-73.48986467354268)
1 (45.64770271300324,-73.65003318266767)
1 (45.33092910481123,-73.74815260353839)
1 (45.584674826207674,-73.54049631377718)
1 (45.45619207987354,-73.52218209997484)
1 (45.714229794579516,-73.28314665932156)
1 (45.625316292253906,-73.64944382524718)
1 (45.26401335076722,-73.49379004264789)
1 (45.45125047080035,-73.66566954158893)
1 (45.487939402765235,-73.70244563884039)
1 (45.67907415725079,-73.35003393122743)
1 (45.2972403091363,-73.26069578271265)
1 (45.69250406080538,-73.54201183920881)
1 (45.42945089952106,-73.6553883408038)
1 (45.590934599042086,-73.48451467951388)
1 (45.58393060376878,-73.49869578993203)
1 (45.27562662696865,-73.28728447980089)
1 (45.570203187215,-73.35857837736877)
1 (45.359146364238924,-73.42825529171807)
1 (45.27369530078585,-73.72211655367444)
1 (45.47827018070939,-73.51869657885236)
1 (45.64237987820405,-73.746970760417)
1 (45.74730876951347,-73.35043385133785)
1 (45.43738185783336,-73.55339482254591)
1 (45.63616789675835,-73.52029749988039)
1 (45.670779203173964,-73.64077205796967)
1 (45.49545085533411,-73.68818079955882)
1 (45.474633047564865,-73.57856109526045)
1 (45.27952143493221,-73.27069397731184)
1 (45.606706510970795,-73.42183156750632)
1 (45.737683959918016,-73.6023813975814)
1 (45.40038265765826,-73.33623760344403)
1 (45.45350087205642,-73.31082457730841)
1 (45.70896763920366,-73.68632022295024)
1 (45.61275596520646,-73.35068399284219)
1 (45.27786606503726,-73.34444749102717)
1 (45.27168526208019,-73.3248384633597)
1 (45.50204122069386,-73.71549434510126)
1 (45.678835245013616,-73.38826090973478)
1 (45.690723806183826,-73.44453219104236)
1 (45.376271993300875,-73.68212523043854)
1 (45.26650813426937,-73.48134083679395)
1 (45.3688524740219,-73.38186899963893)
1 (45.27177634924631,-73.61647384231703)
1 (45.603883106027936,-73.56354276336532)
1 (45.6418160345946,-73.27890098099107)
1 (45.34772843580784,-73.69775652557676)
1 (45.43104810414765,-73.29491959414125)
1 (45.28079659431754,-73.66988999865934)
1 (45.54645735952422,-73.4520695362227)
1 (45.257815917791184,-73.29896344238237)
1 (45.55061877581558,-73.59020463022507)
1 (45.69643096314111,-73.38567133318277)
1 (45.74563867889058,-73.55466597093084)
1 (45.46388389462119,-73.36256179613187)
1 (45.53888033888306,-73.69367101706976)
1 (45.42891102364087,-73.64619980844952)
1 (45.52151970498232,-73.66357492228579)
1 (45.53397203201332,-73.30238324784094)
1 (45.26177752663934,-73.6215788392642)
1 (45.32154314940694,-73.63108563136528)
1 (45.52609989940416,-73.43575251614283)
1 (45.317443626868666,-73.25778046380374)
1 (45.49361022806387,-73.32690698387535)
1 (45.53402802485775,-73.28215718634819)
1 (45.52183108225725,-73.3758955852768)
1 (45.60656533233903,-73.48396937385452)
1 (45.65497566709703,-73.58334001781807)
1 (45.71723915708704,-73.51886125978379)
1 (45.340033795790795,-73.6565705902014)
1 (45.49294138506392,-73.45449908090409)
1 (45.730428642495774,-73.42073833038312)
1 (45.485395089127145,-73.39918935236724)
1 (45.51219589924488,-73.70759910462186)
1 (45.65513086578159,-73.36139635970275)
1 (45.38343792222055,-73.26638824185365)
1 (45.48445363442037,-73.34917704988037)
1 (45.65423129977206,-73.66649682256482)
1 (45.438775907980705,-73.57353153190698)
1 (45.411216858359765,-73.32132905294878)
1 (45.480556051821814,-73.4590232124729)
1 (45.30877706146438,-73.65676284865127)
1 (45.71556897228774,-73.48875275598424)
1 (45.307006476725775,-73.57605387386023)
1 (45.517349499552026,-73.71887594927031)
1 (45.575606868154004,-73.73581626953447)
1 (45.63238738810379,-73.59033539609881)
1 (45.322388984194106,-73.7448810846859)
1 (45.31601572095026,-73.44233218680593)
1 (45.485239212399,-73.72937671954016)
1 (45.48692327646075,-73.39329348988636)
1 (45.54720997399686,-73.27329329955414)
1 (45.716834170061595,-73.50069779437473)
1 (45.69581817083878,-73.54408604656415)
1 (45.591136910324316,-73.3411001990525)
1 (45.64968743222953,-73.44754084643021)
1 (45.58610771244798,-73.36605498912492)
1 (45.71834505264894,-73.42516770558294)
1 (45.60886175669866,-73.58836398330617)
1 (45.544285576187676,-73.51080639275443)
1 (45.737278934167875,-73.33618402496263)
1 (45.50033900107203,-73.500920900151)
1 (45.47888914872705,-73.48000757155262)
1 (45.37993169112274,-73.56522780713483)
1 (45.540065354501856,-73.68938612277923)
1 (45.32300470436897,-73.33084635628522)
1 (45.65986094762716,-73.41249632557114)
1 (45.366154223276034,-73.41407603253025)
1 (45.516441422632035,-73.39225417296483)
1 (45.591985255189385,-73.54920053676855)
1 (45.5582981016772,-73.63766324519047)
1 (45.57971999403167,-73.37338483390371)
1 (45.34729572423793,-73.35843848436696)
1 (45.726778378035576,-73.57077514674587)
1 (45.62609330935466,-73.44467710960413)
1 (45.519348945784486,-73.45732937087091)
1 (45.33859122978771,-73.63145425594452)
1 (45.47889408989532,-73.7006989435351)
1 (45.73879599559225,-73.53070092560795)
1 (45.30108428063835,-73.71665040989473)
1 (45.52085688010236,-73.73957760941683)
1 (45.633831972740104,-73.36505860839422)
1 (45.59101758846093,-73.7457873301386)
1 (45.51189635410213,-73.38442101106654)
1 (45.68083865017071,-73.34587716835705)
1 (45.67695612668928,-73.55413553297967)
1 (45.47028529406852,-73.27255805456551)
1 (45.36409822587691,-73.35845273126822)
1 (45.74913807759399,-73.69142797360111)
1 (45.62834595645969,-73.44505552038089)
1 (45.395672487368955,-73.67621404968632)
1 (45.41815121872591,-73.42463802601843)
1 (45.59266652702276,-73.70475471669603)
1 (45.37670088597827,-73.54564813798228)
1 (45.73253385334096,-73.6354234422081)
1 (45.26643839124593,-73.50052579121434)
1 (45.3857432253937,-73.52555102537939)
1 (45.467377246909436,-73.57631275556506)
1 (45.519673332900965,-73.53963394774144)
1 (45.695584212201815,-73.55342698411752)
1 (45.358665246197106,-73.56572175673679)
1 (45.42463523853441,-73.68168793511977)
1 (45.370273175647284,-73.51335678070475)
1 (45.469898502430425,-73.7223471344097)
1 (45.34757747385691,-73.60579520711802)
1 (45.31317432766888,-73.43892122440819)
1 (45.432911919107184,-73.3029688091002)
1 (45.503522727084324,-73.5480426362387)
1 (45.69447084193829,-73.29975204172133)
1 (45.36903504193543,-73.50433619583438)
1 (45.52399980892512,-73.33658000573445)
1 (45.313856864409445,-73.5904976730584)
1 (45.67113680548425,-73.33631781939933)
1 (45.65494538724145,-73.61529350326659)
1 (45.66795941633405,-73.64251280601019)
1 (45.27384485559576,-73.58811869225951)
1 (45.72590624806369,-73.3797660683326)
1 (45.32018990610887,-73.5390429660078)
1 (45.40647985186413,-73.68694057659837)
1 (45.30569689542271,-73.68794327022009)
1 (45.47700092911891,-73.28827868754192)
1 (45.67007966358589,-73.43536346373273)
1 (45.36317251416975,-73.56623172688585)
1 (45.28362650490863,-73.65116029594765)
1 (45.50132563121688,-73.48291065596199)
1 (45.37510107680399,-73.4747875510061)
1 (45.67495661274185,-73.3645466116292)
1 (45.53818076862048,-73.31323823571094)
1 (45.592529109066746,-73.71520580542108)
1 (45.274821893537045,-73.42920769813436)
1 (45.526502578475146,-73.36223398395224)
1 (45.479741584720806,-73.45295851486702)
1 (45.2871618993252,-73.35651059827178)
1 (45.35663240346387,-73.32666094403154)
1 (45.649061366163814,-73.65557384536916)
1 (45.48377623217716,-73.59965071595114)
1 (45.58275928304197,-73.70703281875336)
1 (45.614399848489406,-73.63708890882927)
1 (45.27000800503919,-73.62341364196092)
1 (45.30541535280544,-73.6829266106091)
1 (45.39667729957962,-73.69769197354533)
1 (45.61711446972876,-73.33087006739572)
1 (45.62442724123561,-73.55124459005665)
1 (45.41593644023063,-73.30420987717629)
1 (45.439510189541444,-73.73280833666948)
1 (45.742605012222754,-73.5269210489544)
1 (45.265069669276,-73.59826516622952)
1 (45.27873092971136,-73.28435823463575)
1 (45.301917154365924,-73.2966774826285)
1 (45.65640192009828,-73.32216394964897)
1 (45.53200623744166,-73.66797841457371)
1 (45.707333088945056,-73.51667510180455)
1 (45.678686709538674,-73.32207718705962)
1 (45.740826449298844,-73.26915646422358)
1 (45.668309490590154,-73.61787016195103)
1 (45.57308883732764,-73.52960747150253)
1 (45.27886672397118,-73.6937536095715)
1 (45.304383695905166,-73.34368174543347)
1 (45.69308939430763,-73.61871483515239)
1 (45.2550424963443,-73.53842692601359)
1 (45.5957882474088,-73.63493352255884)
1 (45.52653768148971,-73.61909483833364)
1 (45.26821215983881,-73.34905591478305)
1 (45.34961975875275,-73.64019074808901)
1 (45.33581120724136,-73.5999096459495)
1 (45.71794667606409,-73.73922260923624)
1 (45.42002999191199,-73.58540777569621)
1 (45.28268489041129,-73.6812798861652)
1 (45.42962028146977,-73.67074575854608)
1 (45.601236799480425,-73.65661399785805)
1 (45.602449959110295,-73.62372584820118)
1 (45.591550344379684,-73.7018106945175)
1 (45.67489882431097,-73.33114861983987)
1 (45.44239219732969,-73.47793747892105)
1 (45.712670039291645,-73.34269199515695)
1 (45.269516857024676,-73.73621732995709)
1 (45.68420909531553,-73.36555347354194)
1 (45.48783961985643,-73.63332265485951)
1 (45.2959106924455,-73.59436184918752)
1 (45.6905222243844,-73.62430175186964)
1 (45.43690705963541,-73.50647006612637)
1 (45.28730588247222,-73.46144274296252)
1 (45.30046969683924,-73.48272129197719)
1 (45.25647684715002,-73.36204797996017)
1 (45.3589194999515,-73.32813607456502)
1 (45.607526010310124,-73.6771349791877)
1 (45.369428805733236,-73.46569845852912)
1 (45.534864097232635,-73.39649779119597)
1 (45.47921203179886,-73.25952471636134)
1 (45.26688045972101,-73.56335572805226)
1 (45.28033996424272,-73.59117870539033)
1 (45.279183821516405,-73.64398443208071)
1 (45.336775781425516,-73.46475348449151)
1 (45.346039319736605,-73.60426707869348)
1 (45.269219557943806,-73.55256892200109)
1 (45.34981689047959,-73.38602149422452)
1 (45.43696100127325,-73.71394099270174)
1 (45.3546918081692,-73.65125211511048)
1 (45.600178466329375,-73.62445844908315)
1 (45.677889058855726,-73.57214354051845)
1 (45.680985780822105,-73.74255851241698)
1 (45.5594389765487,-73.58865530167805)
1 (45.36701638898707,-73.41392315831374)
1 (45.539712191303,-73.43399568575786)
1 (45.31744790809508,-73.47232345865615)
1 (45.30292803914979,-73.34104524272509)
1 (45.63810828838531,-73.738019834265)
1 (45.5343810494734,-73.68996864079193)
1 (45.58966801348769,-73.34168129817557)
1 (45.26930612482594,-73.43879646215933)
1 (45.68091130165585,-73.31301755814194)
1 (45.2821036673728,-73.49467648737361)
1 (45.37769218160386,-73.36892311860925)
1 (45.27607180357295,-73.73378718253394)
1 (45.6274200360392,-73.3159130219572)
1 (45.48584353002993,-73.66257367416107)
1 (45.25878203237787,-73.4459854696636)
1 (45.2974024659357,-73.73200993207702)
1 (45.566898529600834,-73.25377670736916)
1 (45.623851653145955,-73.57000841536295)
1 (45.535220572647766,-73.7359795251454)
1 (45.54903560543227,-73.38489182869449)
1 (45.67721696697334,-73.4514766678316)
1 (45.66566662600568,-73.51500917246862)
1 (45.4032617784816,-73.42249629236429)
1 (45.589782197592946,-73.55612157435846)
1 (45.63112118213781,-73.34332692651262)
1 (45.32916089786129,-73.68910124036798)
1 (45.56205212374051,-73.43373487671087)
1 (45.51975034127238,-73.25577975929662)
1 (45.638763250341306,-73.62920735901625)
1 (45.5212111726294,-73.29045012947785)
1 (45.68635217536728,-73.639500598732)
1 (45.48035708388631,-73.60856963232997)
1 (45.61282110058069,-73.7307017418136)
1 (45.72957139700309,-73.68262885086165)
1 (45.311886310697,-73.39411987837181)
1 (45.28620691288065,-73.39794502245574)
1 (45.56753537996936,-73.35780112226438)
1 (45.258526083885315,-73.37830575498059)
1 (45.307148807663516,-73.67331868742595)
1 (45.64391462274282,-73.40293237803293)
1 (45.48799176591263,-73.37171917250893)
1 (45.3259023780141,-73.50214992303002)
1 (45.730494262615615,-73.42811157800936)
1 (45.53795101378618,-73.61944376885513)
1 (45.53097664820925,-73.50436653782575)
1 (45.664018885082804,-73.26225104834644)
1 (45.49634067229828,-73.65374802475519)
1 (45.48858936671066,-73.33287773178614)
1 (45.543734462686444,-73.37003094231702)
1 (45.392149354576155,-73.33435043803502)
1 (45.39931310118516,-73.54676301031431)
1 (45.51203092192776,-73.38380480896839)
1 (45.511954825728765,-73.5798099917368)
1 (45.55307940526334,-73.43818034424943)
1 (45.6701561626844,-73.49817881911545)
1 (45.737787378433524,-73.34353472260956)
1 (45.673317412306695,-73.64434356670971)
1 (45.331334402195424,-73.26020816214152)
1 (45.36224346264657,-73.54590470446013)
1 (45.26339860769002,-73.69136195712649)
1 (45.657922916854915,-73.72539260831873)
1 (45.59565653631249,-73.25208264803322)
1 (45.49251205115768,-73.28438154664889)
1 (45.45156375748655,-73.4602867857838)
1 (45.641938110387024,-73.6718112675412)
1 (45.53330943530007,-73.70907889226868)
1 (45.48565007947469,-73.60451816348812)
1 (45.49976375870164,-73.69300836732016)
1 (45.62578306125016,-73.65045915718171)
1 (45.26878811465626,-73.40783888364936)
1 (45.59536572671301,-73.51196628284042)
1 (45.73745339131087,-73.4249870428319)
1 (45.57318881230317,-73.55760080071559)
1 (45.484512750346006,-73.45770469420793)
